Apdx,Table,A1,A2,A3,A4,Ref1(formula),D,Ref2(formula),Reference,Mandatory,Table / Activity,Aspect1,Aspect2,Aspect3,Aspect4,Aspect5,Detail to specify if used/applicable,Mandatory,Included in Carp2012,% of studies that informed it,% of studies that informed it (structural),Format1,Format2,Format3,choices_level1,choices_level2,For meta-analysis,Notes
D,01,01,01,00,00,D01.01.01.00.00,01,D01.01.01.00.00.01,D01.01.01.00.00.01,N,Experimental Design,Number of subjects (by group),Subjects approached,,,,Number of subjects approached,N,,,,numeric,,,,,,
D,01,01,02,00,00,D01.01.02.00.00,01,D01.01.02.00.00.01,D01.01.02.00.00.01,N,Experimental Design,Number of subjects (by group),Subjects consented,,,,Number of subjects consented,N,,,,numeric,,,,,,
D,01,01,03,00,00,D01.01.03.00.00,01,D01.01.03.00.00.01,D01.01.03.00.00.01,N,Experimental Design,Number of subjects (by group),Subjects refused to participate,,,,Provide reasons,N,,,,numeric,string,,,,,
D,01,01,04,00,00,D01.01.04.00.00,01,D01.01.04.00.00.01,D01.01.04.00.00.01,N,Experimental Design,Number of subjects (by group),Subjects excluded,,,,Subjects excluded after consenting but before data acquisition; provide reasons,N,nreject,27.9,,numeric,string,,,,,
D,01,02,01,01,00,D01.02.01.01.00,01,D01.02.01.01.00.01,D01.02.01.01.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),age,mean,,,,Y,agemean,75,,numeric,,,,,Y,NECESSARY TO DESCRIBE SAMPLE
D,01,02,01,02,00,D01.02.01.02.00,01,D01.02.01.02.00.01,D01.02.01.02.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),age,std,,,,Y,agevar,41,,numeric,,,,,,
D,01,02,01,03,00,D01.02.01.03.00,01,D01.02.01.03.00.01,D01.02.01.03.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),age,range,,,,Y,agerange,47,,"numeric, numeric",,,,,,
D,01,03,01,04,00,D01.03.01.04.00,01,D01.03.01.04.00.01,D01.03.01.04.00.01,Y,Experimental Design,Number of subjects (by group),Subjects participated and analyzed,subjects scanned,,,,Y,nreject,27.9,,numeric,,,,,Y,NECESSARY FOR ALE ALGORITHM
D,01,03,01,05,00,D01.03.01.05.00,01,D01.03.01.05.00.01,D01.03.01.05.00.01,,Experimental Design,Number of subjects (by group),Subjects participated and analyzed,subjects excluded after acquisition,,,,,,,,numeric,,,,,,
D,01,03,01,06,00,D01.03.01.06.00,01,D01.03.01.06.00.01,D01.03.01.06.00.01,,Experimental Design,Number of subjects (by group),Subjects participated and analyzed,subjects included in analysis,,,"If they differ, note the number of subjects in each particular analysis",,nsubj,99.6,,numeric,,,,,,
D,01,04,01,00,00,D01.04.01.00.00,01,D01.04.01.00.00.01,D01.04.01.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Gender,,,,Percentage of men in the study,Y,nfemale,86.7,,numeric,,,,,Y,NECESSARY TO DESCRIBE SAMPLE
D,01,04,02,00,00,D01.04.02.00.00,01,D01.04.02.00.00.01,D01.04.02.00.00.01,N,Experimental Design,Inclusion criteria and descriptive statistics (by group),Race & ethnicity,,,,Per guidelines of NIH or other relevant agency,N,,,,string,,,"Could provide choices for ethnicity for example: Caucasian, Latino/Hispanic, Middle Eastern, African, Caribbean, South Asian, East Asian, Mixed, Other / or according to NIH?",,,
